PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_CentralPV_22_na	.	CentralPV	Oahu	37174492.39	62.54561119	.
Oahu_CentralPV_230_na	.	CentralPV	Oahu	16407616.09	0.007857376	.
Oahu_CentralPV_231_na	.	CentralPV	Oahu	16170739.45	0.913340655	.
Oahu_CentralPV_232_na	.	CentralPV	Oahu	15991148.69	19.98511825	.
Oahu_CentralPV_233_na	.	CentralPV	Oahu	15869778.72	23.15611835	.
Oahu_CentralPV_234_na	.	CentralPV	Oahu	15810372.14	32.50161219	.
Oahu_CentralPV_235_na	.	CentralPV	Oahu	15813246.52	11.15969548	.
Oahu_CentralPV_236_na	.	CentralPV	Oahu	15877366.34	40.70747704	.
Oahu_CentralPV_237_na	.	CentralPV	Oahu	16003734.91	41.93176287	.
Oahu_CentralPV_238_na	.	CentralPV	Oahu	16188129.95	64.11554252	.
Oahu_CentralPV_239_na	.	CentralPV	Oahu	16432657.2	45.64632276	.
Oahu_CentralPV_23_na	.	CentralPV	Oahu	37773492.6	24.82932558	.
Oahu_CentralPV_240_na	.	CentralPV	Oahu	16729384.07	58.78872654	.
Oahu_CentralPV_241_na	.	CentralPV	Oahu	17077865.46	61.74160418	.
Oahu_CentralPV_242_na	.	CentralPV	Oahu	17479732.03	62.94880861	.
Oahu_CentralPV_243_na	.	CentralPV	Oahu	17922787.59	70.06718715	.
Oahu_CentralPV_244_na	.	CentralPV	Oahu	18413631.42	65.6366576	.
Oahu_CentralPV_245_na	.	CentralPV	Oahu	18938089.01	81.55443696	.
Oahu_CentralPV_246_na	.	CentralPV	Oahu	19504735.63	72.25246003	.
Oahu_CentralPV_247_na	.	CentralPV	Oahu	20097966.07	19.84153854	.
Oahu_CentralPV_248_na	.	CentralPV	Oahu	22054394.36	59.86760108	.
Oahu_CentralPV_249_na	.	CentralPV	Oahu	22760467.08	86.25703803	.
Oahu_CentralPV_24_na	.	CentralPV	Oahu	29955462.64	5.520098816	.
Oahu_CentralPV_250_na	.	CentralPV	Oahu	23479393.74	40.18999851	.
Oahu_CentralPV_251_na	.	CentralPV	Oahu	24217064.25	72.35016702	.
Oahu_CentralPV_252_na	.	CentralPV	Oahu	24980389.27	73.01684995	.
Oahu_CentralPV_253_na	.	CentralPV	Oahu	25750890.33	66.10591121	.
Oahu_CentralPV_254_na	.	CentralPV	Oahu	26535600.2	41.11331757	.
Oahu_CentralPV_255_na	.	CentralPV	Oahu	27342327.59	39.21408308	.
Oahu_CentralPV_256_na	.	CentralPV	Oahu	28152031.44	53.49236153	.
Oahu_CentralPV_257_na	.	CentralPV	Oahu	28972609.65	52.08528172	.
Oahu_CentralPV_258_na	.	CentralPV	Oahu	29812549.69	63.10774906	.
Oahu_CentralPV_259_na	.	CentralPV	Oahu	30652367.98	64.27149221	.
Oahu_CentralPV_25_na	.	CentralPV	Oahu	30251105.33	48.39648702	.
Oahu_CentralPV_260_na	.	CentralPV	Oahu	31500610.54	64.53937452	.
Oahu_CentralPV_261_na	.	CentralPV	Oahu	32366274.71	49.94406202	.
Oahu_CentralPV_262_na	.	CentralPV	Oahu	33229518.29	25.63710287	.
Oahu_CentralPV_263_na	.	CentralPV	Oahu	34099374.02	0.379417211	.
Oahu_CentralPV_264_na	.	CentralPV	Oahu	34975348.67	0.054274189	.
Oahu_CentralPV_265_na	.	CentralPV	Oahu	15764119.66	1.21505094	.
Oahu_CentralPV_266_na	.	CentralPV	Oahu	15450943.02	27.02261904	.
Oahu_CentralPV_267_na	.	CentralPV	Oahu	15199223.97	41.6581718	.
Oahu_CentralPV_268_na	.	CentralPV	Oahu	14878748.24	43.8827458	.
Oahu_CentralPV_269_na	.	CentralPV	Oahu	14815431.05	88.19006816	.
Oahu_CentralPV_26_na	.	CentralPV	Oahu	30926213.78	2.73098088	.
Oahu_CentralPV_270_na	.	CentralPV	Oahu	14818560.58	67.18069718	.
Oahu_CentralPV_271_na	.	CentralPV	Oahu	14887027.29	36.30294163	.
Oahu_CentralPV_272_na	.	CentralPV	Oahu	15021791.66	63.5261942	.
Oahu_CentralPV_273_na	.	CentralPV	Oahu	15218150.45	85.64404266	.
Oahu_CentralPV_274_na	.	CentralPV	Oahu	15478070.27	51.76661769	.
Oahu_CentralPV_275_na	.	CentralPV	Oahu	15792802.07	78.30171503	.
Oahu_CentralPV_276_na	.	CentralPV	Oahu	16161549.1	66.70994098	.
Oahu_CentralPV_277_na	.	CentralPV	Oahu	16585690.02	61.70097318	.
Oahu_CentralPV_278_na	.	CentralPV	Oahu	17052046.26	78.66512734	.
Oahu_CentralPV_279_na	.	CentralPV	Oahu	17567290.65	62.93374767	.
Oahu_CentralPV_27_na	.	CentralPV	Oahu	31303171.4	25.23830124	.
Oahu_CentralPV_280_na	.	CentralPV	Oahu	18116318.34	88.68969859	.
Oahu_CentralPV_281_na	.	CentralPV	Oahu	18707923.72	63.08877804	.
Oahu_CentralPV_282_na	.	CentralPV	Oahu	19325678.38	5.85960732	.
Oahu_CentralPV_283_na	.	CentralPV	Oahu	20654657.96	14.42544179	.
Oahu_CentralPV_284_na	.	CentralPV	Oahu	21353118.98	80.26309075	.
Oahu_CentralPV_285_na	.	CentralPV	Oahu	22081670.93	67.68148649	.
Oahu_CentralPV_286_na	.	CentralPV	Oahu	22822033.07	79.01523243	.
Oahu_CentralPV_287_na	.	CentralPV	Oahu	23580318.14	88.6470879	.
Oahu_CentralPV_288_na	.	CentralPV	Oahu	24363641.3	85.66619365	.
Oahu_CentralPV_289_na	.	CentralPV	Oahu	25153080.76	42.335815	.
Oahu_CentralPV_28_na	.	CentralPV	Oahu	31706268.81	0.48700575	.
Oahu_CentralPV_290_na	.	CentralPV	Oahu	25955907.85	59.55900915	.
Oahu_CentralPV_291_na	.	CentralPV	Oahu	26780140.68	64.91847884	.
Oahu_CentralPV_292_na	.	CentralPV	Oahu	27606374.22	52.06868609	.
Oahu_CentralPV_293_na	.	CentralPV	Oahu	28442733.77	56.00004309	.
Oahu_CentralPV_294_na	.	CentralPV	Oahu	29297902.87	48.23914747	.
Oahu_CentralPV_295_na	.	CentralPV	Oahu	30152091.78	48.58134525	.
Oahu_CentralPV_296_na	.	CentralPV	Oahu	31014052.1	55.34287463	.
Oahu_CentralPV_297_na	.	CentralPV	Oahu	31892957.17	53.3258257	.
Oahu_CentralPV_298_na	.	CentralPV	Oahu	32768702.48	15.62241137	.
Oahu_CentralPV_299_na	.	CentralPV	Oahu	33650502.07	33.93099989	.
Oahu_CentralPV_29_na	.	CentralPV	Oahu	35773912.68	15.07686984	.
Oahu_CentralPV_2_na	.	CentralPV	Oahu	35001346.04	5.29123959	.
Oahu_CentralPV_300_na	.	CentralPV	Oahu	34537892.29	28.55097093	.
Oahu_CentralPV_301_na	.	CentralPV	Oahu	35440509.84	9.488612565	.
Oahu_CentralPV_302_na	.	CentralPV	Oahu	14499492.19	55.37015876	.
Oahu_CentralPV_303_na	.	CentralPV	Oahu	14231013.45	77.32057522	.
Oahu_CentralPV_304_na	.	CentralPV	Oahu	14026735.11	70.98565917	.
Oahu_CentralPV_305_na	.	CentralPV	Oahu	13888337.58	86.76468311	.
Oahu_CentralPV_306_na	.	CentralPV	Oahu	13820546.48	88.4187353	.
Oahu_CentralPV_307_na	.	CentralPV	Oahu	13823963.54	67.91333925	.
Oahu_CentralPV_308_na	.	CentralPV	Oahu	13897393.26	61.88833633	.
Oahu_CentralPV_309_na	.	CentralPV	Oahu	14041721.23	74.78293368	.
Oahu_CentralPV_30_na	.	CentralPV	Oahu	36375827.59	86.50606067	.
Oahu_CentralPV_310_na	.	CentralPV	Oahu	14251650.87	55.88576308	.
Oahu_CentralPV_311_na	.	CentralPV	Oahu	14528932.24	83.65937987	.
Oahu_CentralPV_312_na	.	CentralPV	Oahu	14863833.95	88.68056164	.
Oahu_CentralPV_313_na	.	CentralPV	Oahu	15255110.17	58.8668692	.
Oahu_CentralPV_314_na	.	CentralPV	Oahu	15703808.78	49.00001573	.
Oahu_CentralPV_315_na	.	CentralPV	Oahu	16195633.49	52.39055233	.
Oahu_CentralPV_316_na	.	CentralPV	Oahu	16737316.22	58.841103	.
Oahu_CentralPV_317_na	.	CentralPV	Oahu	17312735.78	82.90503648	.
Oahu_CentralPV_318_na	.	CentralPV	Oahu	17930924.17	11.60876983	.
Oahu_CentralPV_319_na	.	CentralPV	Oahu	19247172.99	5.421982205	.
Oahu_CentralPV_31_na	.	CentralPV	Oahu	36987813.83	24.19069794	.
Oahu_CentralPV_320_na	.	CentralPV	Oahu	19953744.63	76.9430964	.
Oahu_CentralPV_321_na	.	CentralPV	Oahu	20675940.68	88.48629175	.
Oahu_CentralPV_322_na	.	CentralPV	Oahu	21427572.26	51.14415149	.
Oahu_CentralPV_323_na	.	CentralPV	Oahu	22189810.04	87.07679201	.
Oahu_CentralPV_324_na	.	CentralPV	Oahu	22969016.06	89.1092346	.
Oahu_CentralPV_325_na	.	CentralPV	Oahu	23772529.48	86.73011715	.
