timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-03-12-14:00	-1144.9699707	0.0	1144.9699706999997
2007-03-12-15:00	-1129.88000488	0.0	1129.8800048799997
2007-03-12-16:00	-1119.14001465	0.0	1119.1400146499998
2007-03-12-17:00	-1139.19995117	0.0	1139.19995117
2007-03-12-18:00	-1177.0300293	0.0	1177.0300292999998
2007-03-12-19:00	-1149.5	0.0	1149.4999999999998
2007-03-12-20:00	-1082.52001953	0.0	1082.5200195299997
2007-03-12-21:00	-990.450012207	0.0	990.4500122069999
2007-03-12-22:00	-867.08001709	0.0	867.0800170899997
2007-03-12-23:00	-767.440002441	0.0	767.4400024409999
2007-04-09-00:00	-668.599975586	0.0	668.599975586
2007-04-09-01:00	-638.849975586	0.0	638.849975586
2007-04-09-02:00	-627.66998291	0.0	627.66998291
2007-04-09-03:00	-637.849975586	0.0	637.849975586
2007-04-09-04:00	-696.780029297	0.0	696.780029297
2007-04-09-05:00	-820.309997559	0.0	820.3099975590001
2007-04-09-06:00	-938.289978027	0.0	938.2899780269997
2007-04-09-07:00	-999.880004883	0.0	999.8800048829999
2007-04-09-08:00	-1051.59997559	0.0	1051.5999755899998
2007-04-09-09:00	-1084.13000488	0.0	1084.13000488
2007-04-09-10:00	-1112.65002441	0.0	1112.6500244099998
2007-04-09-11:00	-1122.59997559	0.0	1122.5999755899998
2007-04-09-12:00	-1133.93005371	0.0	1133.9300537099998
2007-04-09-13:00	-1133.9699707	0.0	1133.9699706999997
2007-04-09-14:00	-1131.19995117	0.0	1131.1999511699998
2007-04-09-15:00	-1123.79003906	0.0	1123.7900390599998
2007-04-09-16:00	-1108.93994141	0.0	1108.9399414099998
2007-04-09-17:00	-1099.33996582	0.0	1099.33996582
2007-04-09-18:00	-1141.83996582	0.0	1141.8399658199999
2007-04-09-19:00	-1142.05004883	0.0	1142.0500488299997
2007-04-09-20:00	-1076.7199707	0.0	1076.7199706999997
2007-04-09-21:00	-973.16998291	0.0	973.1699829099998
2007-04-09-22:00	-845.479980469	0.0	845.4799804689999
2007-04-09-23:00	-748.799987793	0.0	748.7999877929999
2007-04-10-00:00	-695.489990234	0.0	695.4899902340001
2007-04-10-01:00	-662.450012207	0.0	662.4500122069999
2007-04-10-02:00	-648.210021973	0.0	648.210021973
2007-04-10-03:00	-655.630004883	0.0	655.6300048830001
2007-04-10-04:00	-713.840026855	0.0	713.8400268550001
2007-04-10-05:00	-845.539978027	0.0	845.539978027
2007-04-10-06:00	-956.039978027	0.0	956.0399780269997
2007-04-10-07:00	-997.91998291	0.0	997.9199829099998
2007-04-10-08:00	-1057.04003906	0.0	1057.0400390599998
2007-04-10-09:00	-1091.45996094	0.0	1091.4599609399997
2007-04-10-10:00	-1116.5300293	0.0	1116.5300293
2007-04-10-11:00	-1121.5300293	0.0	1121.5300292999998
2007-04-10-12:00	-1134.59997559	0.0	1134.5999755899998
2007-04-10-13:00	-1131.81994629	0.0	1131.81994629
2007-04-10-14:00	-1125.47998047	0.0	1125.47998047
2007-04-10-15:00	-1110.61999512	0.0	1110.6199951199999
2007-04-10-16:00	-1097.68994141	0.0	1097.6899414099998
2007-04-10-17:00	-1103.31005859	0.0	1103.31005859
2007-04-10-18:00	-1139.36999512	0.0	1139.3699951199999
2007-04-10-19:00	-1114.29003906	0.0	1114.2900390599998
2007-04-10-20:00	-1054.95996094	0.0	1054.9599609399997
2007-04-10-21:00	-960.510009766	0.0	960.5100097660002
2007-04-10-22:00	-841.960021973	0.0	841.9600219729998
2007-04-10-23:00	-740.0	0.0	740.0
2007-05-15-00:00	-688.190002441	0.0	688.1900024410002
2007-05-15-01:00	-656.75	0.0	656.75
2007-05-15-02:00	-645.380004883	0.0	645.3800048830001
2007-05-15-03:00	-651.08001709	0.0	651.08001709
2007-05-15-04:00	-705.890014648	0.0	705.8900146479998
2007-05-15-05:00	-823.039978027	0.0	823.039978027
2007-05-15-06:00	-941.020019531	0.0	941.0200195310001
2007-05-15-07:00	-1007.32000732	0.0	1007.3200073199998
2007-05-15-08:00	-1069.82995605	0.0	1069.8299560499997
2007-05-15-09:00	-1103.0300293	0.0	1103.0300293
2007-05-15-10:00	-1121.83996582	0.0	1121.8399658199999
2007-05-15-11:00	-1136.22998047	0.0	1136.22998047
2007-05-15-12:00	-1139.85998535	0.0	1139.8599853499998
2007-05-15-13:00	-1135.69995117	0.0	1135.6999511699998
2007-05-15-14:00	-1132.44995117	0.0	1132.4499511699998
