PROJECT	proj_capacity_limit_mw
Oahu_CentralPV_166_na	54.30962328
Oahu_CentralPV_167_na	42.76188601
Oahu_CentralPV_168_na	68.25163483
Oahu_CentralPV_169_na	53.42957299
Oahu_CentralPV_170_na	53.73607207
Oahu_CentralPV_171_na	66.10311149
Oahu_CentralPV_172_na	77.15095083
Oahu_CentralPV_173_na	57.35481503
Oahu_CentralPV_174_na	0.984589965
Oahu_CentralPV_176_na	17.23947773
Oahu_CentralPV_177_na	14.8191091
Oahu_CentralPV_178_na	1.215
Oahu_CentralPV_179_na	0.063
Oahu_CentralPV_180_na	0.009
Oahu_CentralPV_181_na	0.018
Oahu_CentralPV_182_na	0.99668367
Oahu_CentralPV_183_na	23.87968515
Oahu_CentralPV_184_na	15.39924867
Oahu_CentralPV_185_na	1.469723546
Oahu_CentralPV_186_na	21.62721817
Oahu_CentralPV_187_na	57.89772004
Oahu_CentralPV_188_na	47.66139727
Oahu_CentralPV_189_na	47.4880411
Oahu_CentralPV_190_na	81.26394247
Oahu_CentralPV_191_na	29.82053381
Oahu_CentralPV_192_na	60.58812559
Oahu_CentralPV_193_na	50.15788865
Oahu_CentralPV_194_na	83.06029352
Oahu_CentralPV_195_na	62.74324836
Oahu_CentralPV_196_na	33.41998035
Oahu_CentralPV_197_na	3.896210988
Oahu_CentralPV_198_na	14.19491247
Oahu_CentralPV_199_na	25.94195311
Oahu_CentralPV_200_na	10.55095342
Oahu_CentralPV_201_na	4.84973427
Oahu_CentralPV_202_na	7.100636355
Oahu_CentralPV_203_na	1.257238935
Oahu_CentralPV_204_na	2.060808709
Oahu_CentralPV_205_na	5.346976426
Oahu_CentralPV_206_na	19.46150893
Oahu_CentralPV_207_na	13.31996961
Oahu_CentralPV_208_na	23.50372037
Oahu_CentralPV_209_na	17.57133226
Oahu_CentralPV_210_na	12.56262169
Oahu_CentralPV_211_na	0.162
Oahu_CentralPV_212_na	3.002822595
Oahu_CentralPV_213_na	35.9869106
Oahu_CentralPV_214_na	33.9744553
Oahu_CentralPV_215_na	25.95464633
Oahu_CentralPV_216_na	78.05769627
Oahu_CentralPV_217_na	85.91602356
Oahu_CentralPV_218_na	42.80608749
Oahu_CentralPV_219_na	63.33672121
Oahu_CentralPV_220_na	50.36681919
Oahu_CentralPV_221_na	50.41152815
Oahu_CentralPV_222_na	31.0783997
Oahu_CentralPV_223_na	40.7131095
Oahu_CentralPV_224_na	54.37024776
Oahu_CentralPV_225_na	80.41363474
Oahu_CentralPV_226_na	53.53861305
