LOAD_ZONE	TIMEPOINT	demand_mw
Oahu	1508227060.0	912.700012207
Oahu	1508217060.0	1037.81994629
Oahu	1508207060.0	1135.81005859
Oahu	1508197060.0	1199.34997559
Oahu	1508187060.0	1164.20996094
Oahu	1508177060.0	1179.27001953
Oahu	1508167060.0	1195.55004883
Oahu	1508157060.0	1210.06005859
Oahu	1508147060.0	1217.0
Oahu	1508137060.0	1219.30004883
Oahu	1508127060.0	1218.31005859
Oahu	1508117060.0	1212.06994629
Oahu	1508107060.0	1197.43005371
Oahu	1508097060.0	1173.75
Oahu	1508087060.0	1128.09997559
Oahu	1508077060.0	1064.69995117
Oahu	1508067060.0	994.570007324
Oahu	1508057060.0	875.369995117
Oahu	1508047060.0	760.010009766
Oahu	1508037060.0	700.460021973
Oahu	1508027060.0	692.090026855
Oahu	1508017060.0	701.210021973
Oahu	1508007060.0	738.91998291
Oahu	1509237030.0	803.989990234
Oahu	1509227030.0	901.570007324
Oahu	1509217030.0	1012.67999268
Oahu	1509207030.0	1100.5
Oahu	1509197030.0	1157.05004883
Oahu	1509187030.0	1143.85998535
Oahu	1509177030.0	1114.7199707
Oahu	1509167030.0	1112.97998047
Oahu	1509157030.0	1102.56994629
Oahu	1509147030.0	1093.48999023
Oahu	1509137030.0	1091.81005859
Oahu	1509127030.0	1086.79003906
Oahu	1509117030.0	1089.65002441
Oahu	1509107030.0	1079.29003906
Oahu	1509097030.0	1046.86999512
Oahu	1509087030.0	984.469970703
Oahu	1509077030.0	890.940002441
Oahu	1509067030.0	797.979980469
Oahu	1509057030.0	747.710021973
Oahu	1509047030.0	706.239990234
Oahu	1509037030.0	687.880004883
Oahu	1509027030.0	690.760009766
Oahu	1509017030.0	709.869995117
Oahu	1509007030.0	747.5
Oahu	1510237130.0	809.299987793
Oahu	1510227130.0	898.41998291
Oahu	1510217130.0	976.219970703
Oahu	1510207130.0	1038.94995117
Oahu	1510197130.0	1083.69995117
Oahu	1510187130.0	1127.93994141
Oahu	1510177130.0	1073.18994141
Oahu	1510167130.0	1067.85998535
Oahu	1510157130.0	1069.98999023
Oahu	1510147130.0	1069.57995605
Oahu	1510137130.0	1079.10998535
Oahu	1510127130.0	1090.11999512
Oahu	1510117130.0	1094.41003418
Oahu	1510107130.0	1097.07995605
Oahu	1510097130.0	1069.68994141
Oahu	1510087130.0	1019.14001465
Oahu	1510077130.0	935.710021973
Oahu	1510067130.0	840.200012207
Oahu	1510057130.0	767.979980469
Oahu	1510047130.0	716.25
Oahu	1510037130.0	694.489990234
Oahu	1510027130.0	699.270019531
Oahu	1510017130.0	719.119995117
Oahu	1510007130.0	753.590026855
Oahu	1511238290.0	725.711825598
Oahu	1511228290.0	804.973867714
Oahu	1511218290.0	879.813790483
Oahu	1511208290.0	926.149033856
Oahu	1511198290.0	973.206126741
Oahu	1511188290.0	1008.76574655
Oahu	1511178290.0	1012.27292754
Oahu	1511168290.0	962.034025751
Oahu	1511158290.0	947.34456814
Oahu	1511148290.0	942.129555987
Oahu	1511138290.0	953.881109666
Oahu	1511128290.0	975.361251454
Oahu	1511118290.0	988.098848835
Oahu	1511108290.0	973.775403796
Oahu	1511098290.0	960.478642947
Oahu	1511088290.0	923.190840705
Oahu	1511078290.0	843.695007205
Oahu	1511068290.0	760.132891297
Oahu	1511058290.0	701.080339763
Oahu	1511048290.0	653.616655865
Oahu	1511038290.0	632.360129827
Oahu	1511028290.0	636.090988611
Oahu	1511018290.0	658.435190592
Oahu	1511008290.0	695.580658059
Oahu	1512237140.0	785.640014648
Oahu	1512227140.0	877.75
Oahu	1512217140.0	967.659973145
Oahu	1512207140.0	1026.84997559
