PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw
Oahu_CentralPV_466_na	.	CentralPV	Oahu	26198215.12
Oahu_CentralPV_467_na	.	CentralPV	Oahu	34610336.36
Oahu_CentralPV_468_na	.	CentralPV	Oahu	35556140.86
Oahu_CentralPV_469_na	.	CentralPV	Oahu	36504030.75
Oahu_CentralPV_46_na	.	CentralPV	Oahu	28052031.19
Oahu_CentralPV_470_na	.	CentralPV	Oahu	37464530.3
Oahu_CentralPV_471_na	.	CentralPV	Oahu	10893888.86
Oahu_CentralPV_472_na	.	CentralPV	Oahu	10347269.62
Oahu_CentralPV_473_na	.	CentralPV	Oahu	9864007.327
Oahu_CentralPV_474_na	.	CentralPV	Oahu	8843039.576
Oahu_CentralPV_475_na	.	CentralPV	Oahu	9180475.365
Oahu_CentralPV_476_na	.	CentralPV	Oahu	9498823.768
Oahu_CentralPV_477_na	.	CentralPV	Oahu	9910347.388
Oahu_CentralPV_478_na	.	CentralPV	Oahu	10395462.23
Oahu_CentralPV_479_na	.	CentralPV	Oahu	10947942.75
Oahu_CentralPV_47_na	.	CentralPV	Oahu	28367638.9
Oahu_CentralPV_480_na	.	CentralPV	Oahu	11565282.93
Oahu_CentralPV_481_na	.	CentralPV	Oahu	12225045.86
Oahu_CentralPV_482_na	.	CentralPV	Oahu	12934376.91
Oahu_CentralPV_483_na	.	CentralPV	Oahu	13671074.16
Oahu_CentralPV_484_na	.	CentralPV	Oahu	14446199.99
Oahu_CentralPV_485_na	.	CentralPV	Oahu	15238013.91
Oahu_CentralPV_486_na	.	CentralPV	Oahu	16051250.74
Oahu_CentralPV_487_na	.	CentralPV	Oahu	18610526.42
Oahu_CentralPV_488_na	.	CentralPV	Oahu	19483474.95
Oahu_CentralPV_489_na	.	CentralPV	Oahu	20366667.33
Oahu_CentralPV_48_na	.	CentralPV	Oahu	28710339.06
Oahu_CentralPV_490_na	.	CentralPV	Oahu	21268897.94
Oahu_CentralPV_491_na	.	CentralPV	Oahu	22169025.04
Oahu_CentralPV_492_na	.	CentralPV	Oahu	23076104.11
Oahu_CentralPV_493_na	.	CentralPV	Oahu	33390586.06
Oahu_CentralPV_494_na	.	CentralPV	Oahu	34341738.07
Oahu_CentralPV_495_na	.	CentralPV	Oahu	35294759.51
Oahu_CentralPV_496_na	.	CentralPV	Oahu	36249503.0
Oahu_CentralPV_497_na	.	CentralPV	Oahu	37216589.95
Oahu_CentralPV_498_na	.	CentralPV	Oahu	10103988.81
Oahu_CentralPV_499_na	.	CentralPV	Oahu	9512136.146
Oahu_CentralPV_49_na	.	CentralPV	Oahu	29086731.01
Oahu_CentralPV_4_na	.	CentralPV	Oahu	35750818.38
Oahu_CentralPV_500_na	.	CentralPV	Oahu	8984117.791
Oahu_CentralPV_501_na	.	CentralPV	Oahu	7849844.704
Oahu_CentralPV_502_na	.	CentralPV	Oahu	7978940.72
Oahu_CentralPV_503_na	.	CentralPV	Oahu	8228236.356
Oahu_CentralPV_504_na	.	CentralPV	Oahu	8582040.396
Oahu_CentralPV_505_na	.	CentralPV	Oahu	9035473.723
Oahu_CentralPV_506_na	.	CentralPV	Oahu	9565117.066
Oahu_CentralPV_507_na	.	CentralPV	Oahu	10162889.11
Oahu_CentralPV_508_na	.	CentralPV	Oahu	10825141.38
Oahu_CentralPV_509_na	.	CentralPV	Oahu	11527389.49
Oahu_CentralPV_50_na	.	CentralPV	Oahu	33592387.96
Oahu_CentralPV_510_na	.	CentralPV	Oahu	12277138.56
Oahu_CentralPV_511_na	.	CentralPV	Oahu	13051028.72
Oahu_CentralPV_512_na	.	CentralPV	Oahu	13860910.86
Oahu_CentralPV_513_na	.	CentralPV	Oahu	14684355.31
Oahu_CentralPV_514_na	.	CentralPV	Oahu	19053725.64
Oahu_CentralPV_515_na	.	CentralPV	Oahu	19955974.11
Oahu_CentralPV_516_na	.	CentralPV	Oahu	33141922.44
Oahu_CentralPV_517_na	.	CentralPV	Oahu	34100028.44
Oahu_CentralPV_518_na	.	CentralPV	Oahu	35059637.76
Oahu_CentralPV_519_na	.	CentralPV	Oahu	36020630.33
Oahu_CentralPV_51_na	.	CentralPV	Oahu	34197205.18
Oahu_CentralPV_520_na	.	CentralPV	Oahu	36993717.28
Oahu_CentralPV_521_na	.	CentralPV	Oahu	37957176.65
Oahu_CentralPV_522_na	.	CentralPV	Oahu	6857268.649
Oahu_CentralPV_523_na	.	CentralPV	Oahu	7004745.152
Oahu_CentralPV_524_na	.	CentralPV	Oahu	7287505.525
Oahu_CentralPV_525_na	.	CentralPV	Oahu	7684801.857
Oahu_CentralPV_526_na	.	CentralPV	Oahu	8188129.345
Oahu_CentralPV_527_na	.	CentralPV	Oahu	9417633.287
Oahu_CentralPV_528_na	.	CentralPV	Oahu	10128776.76
Oahu_CentralPV_529_na	.	CentralPV	Oahu	10876123.72
Oahu_CentralPV_52_na	.	CentralPV	Oahu	34826481.86
Oahu_CentralPV_530_na	.	CentralPV	Oahu	11667837.49
Oahu_CentralPV_531_na	.	CentralPV	Oahu	12479606.88
Oahu_CentralPV_532_na	.	CentralPV	Oahu	13324302.6
Oahu_CentralPV_533_na	.	CentralPV	Oahu	14178978.39
Oahu_CentralPV_534_na	.	CentralPV	Oahu	32921426.43
Oahu_CentralPV_535_na	.	CentralPV	Oahu	33885783.08
Oahu_CentralPV_536_na	.	CentralPV	Oahu	34851307.3
Oahu_CentralPV_537_na	.	CentralPV	Oahu	35817904.76
Oahu_CentralPV_538_na	.	CentralPV	Oahu	36796368.01
Oahu_CentralPV_539_na	.	CentralPV	Oahu	37764876.82
Oahu_CentralPV_53_na	.	CentralPV	Oahu	35465311.29
Oahu_CentralPV_540_na	.	CentralPV	Oahu	6037438.87
Oahu_CentralPV_541_na	.	CentralPV	Oahu	6363390.035
Oahu_CentralPV_542_na	.	CentralPV	Oahu	7377806.638
Oahu_CentralPV_543_na	.	CentralPV	Oahu	8017818.263
Oahu_CentralPV_544_na	.	CentralPV	Oahu	8722383.318
Oahu_CentralPV_545_na	.	CentralPV	Oahu	9485835.882
Oahu_CentralPV_546_na	.	CentralPV	Oahu	10280069.9
Oahu_CentralPV_547_na	.	CentralPV	Oahu	11114361.09
Oahu_CentralPV_548_na	.	CentralPV	Oahu	11963778.48
Oahu_CentralPV_549_na	.	CentralPV	Oahu	12842479.48
Oahu_CentralPV_54_na	.	CentralPV	Oahu	25879057.87
Oahu_CentralPV_550_na	.	CentralPV	Oahu	13727217.32
Oahu_CentralPV_551_na	.	CentralPV	Oahu	29815281.66
Oahu_CentralPV_552_na	.	CentralPV	Oahu	30782009.34
Oahu_CentralPV_553_na	.	CentralPV	Oahu	31749874.22
Oahu_CentralPV_554_na	.	CentralPV	Oahu	32729667.55
Oahu_CentralPV_555_na	.	CentralPV	Oahu	33699526.04
Oahu_CentralPV_556_na	.	CentralPV	Oahu	34670251.32
Oahu_CentralPV_557_na	.	CentralPV	Oahu	35641772.66
Oahu_CentralPV_558_na	.	CentralPV	Oahu	36624954.92
Oahu_CentralPV_559_na	.	CentralPV	Oahu	37597892.32
Oahu_CentralPV_55_na	.	CentralPV	Oahu	25993008.42
Oahu_CentralPV_560_na	.	CentralPV	Oahu	5080959.624
Oahu_CentralPV_561_na	.	CentralPV	Oahu	7324858.745
Oahu_CentralPV_562_na	.	CentralPV	Oahu	8090042.787
Oahu_CentralPV_563_na	.	CentralPV	Oahu	8907894.958
Oahu_CentralPV_564_na	.	CentralPV	Oahu	9749360.686
Oahu_CentralPV_565_na	.	CentralPV	Oahu	10625437.33
Oahu_CentralPV_566_na	.	CentralPV	Oahu	11511020.32
Oahu_CentralPV_567_na	.	CentralPV	Oahu	12421818.83
Oahu_CentralPV_568_na	.	CentralPV	Oahu	29636749.83
Oahu_CentralPV_569_na	.	CentralPV	Oahu	30609129.75
Oahu_CentralPV_56_na	.	CentralPV	Oahu	26145509.19
Oahu_CentralPV_570_na	.	CentralPV	Oahu	31582305.93
Oahu_CentralPV_571_na	.	CentralPV	Oahu	32567153.66
Oahu_CentralPV_572_na	.	CentralPV	Oahu	33541723.8
Oahu_CentralPV_573_na	.	CentralPV	Oahu	34516899.23
Oahu_CentralPV_574_na	.	CentralPV	Oahu	35492630.16
Oahu_CentralPV_575_na	.	CentralPV	Oahu	36479843.83
Oahu_CentralPV_576_na	.	CentralPV	Oahu	37456561.94
Oahu_CentralPV_577_na	.	CentralPV	Oahu	4605017.278
Oahu_CentralPV_578_na	.	CentralPV	Oahu	7536464.478
Oahu_CentralPV_579_na	.	CentralPV	Oahu	8408368.728
Oahu_CentralPV_57_na	.	CentralPV	Oahu	26332535.8
Oahu_CentralPV_580_na	.	CentralPV	Oahu	9295196.204
Oahu_CentralPV_581_na	.	CentralPV	Oahu	10210344.54
Oahu_CentralPV_582_na	.	CentralPV	Oahu	29490689.67
Oahu_CentralPV_583_na	.	CentralPV	Oahu	30467742.7
Oahu_CentralPV_584_na	.	CentralPV	Oahu	31445305.84
Oahu_CentralPV_585_na	.	CentralPV	Oahu	32434324.6
Oahu_CentralPV_586_na	.	CentralPV	Oahu	33412779.75
Oahu_CentralPV_587_na	.	CentralPV	Oahu	34391621.86
Oahu_CentralPV_588_na	.	CentralPV	Oahu	35370818.88
Oahu_CentralPV_589_na	.	CentralPV	Oahu	36361349.86
Oahu_CentralPV_58_na	.	CentralPV	Oahu	26554817.02
Oahu_CentralPV_590_na	.	CentralPV	Oahu	3238979.054
Oahu_CentralPV_591_na	.	CentralPV	Oahu	3812436.318
Oahu_CentralPV_592_na	.	CentralPV	Oahu	8001956.9
Oahu_CentralPV_593_na	.	CentralPV	Oahu	8929264.745
Oahu_CentralPV_594_na	.	CentralPV	Oahu	28397196.29
Oahu_CentralPV_595_na	.	CentralPV	Oahu	29377585.75
Oahu_CentralPV_596_na	.	CentralPV	Oahu	30358288.45
Oahu_CentralPV_597_na	.	CentralPV	Oahu	31339275.08
Oahu_CentralPV_598_na	.	CentralPV	Oahu	32331546.47
Oahu_CentralPV_599_na	.	CentralPV	Oahu	33313029.23
Oahu_CentralPV_59_na	.	CentralPV	Oahu	26814551.63
Oahu_CentralPV_5_na	.	CentralPV	Oahu	36158108.78
Oahu_CentralPV_600_na	.	CentralPV	Oahu	34294727.1
Oahu_CentralPV_601_na	.	CentralPV	Oahu	35276622.18
Oahu_CentralPV_602_na	.	CentralPV	Oahu	3137571.063
Oahu_CentralPV_603_na	.	CentralPV	Oahu	28314661.08
Oahu_CentralPV_604_na	.	CentralPV	Oahu	29297820.05
Oahu_CentralPV_605_na	.	CentralPV	Oahu	30281113.55
Oahu_CentralPV_606_na	.	CentralPV	Oahu	31264528.99
Oahu_CentralPV_607_na	.	CentralPV	Oahu	32259106.76
Oahu_CentralPV_608_na	.	CentralPV	Oahu	26286394.98
Oahu_CentralPV_609_na	.	CentralPV	Oahu	27271094.62
Oahu_CentralPV_60_na	.	CentralPV	Oahu	27104981.5
Oahu_CentralPV_610_na	.	CentralPV	Oahu	28266895.66
Oahu_CentralPV_611_na	.	CentralPV	Oahu	29251665.55
Oahu_CentralPV_612_na	.	CentralPV	Oahu	562106.551
Oahu_CentralPV_613_na	.	CentralPV	Oahu	25287402.88
Oahu_CentralPV_614_na	.	CentralPV	Oahu	26272602.29
Oahu_CentralPV_615_na	.	CentralPV	Oahu	27257803.68
Oahu_CentralPV_616_na	.	CentralPV	Oahu	1252781.932
Oahu_CentralPV_617_na	.	CentralPV	Oahu	21353851.23
Oahu_CentralPV_618_na	.	CentralPV	Oahu	24316919.76
Oahu_CentralPV_619_na	.	CentralPV	Oahu	25312173.09
Oahu_CentralPV_61_na	.	CentralPV	Oahu	27431546.6
Oahu_CentralPV_620_na	.	CentralPV	Oahu	26296445.73
Oahu_CentralPV_621_na	.	CentralPV	Oahu	21430426.42
Oahu_CentralPV_622_na	.	CentralPV	Oahu	22421978.75
Oahu_CentralPV_623_na	.	CentralPV	Oahu	23402909.84
Oahu_CentralPV_624_na	.	CentralPV	Oahu	24384187.12
Oahu_CentralPV_625_na	.	CentralPV	Oahu	25376801.19
Oahu_CentralPV_626_na	.	CentralPV	Oahu	22538337.75
Oahu_CentralPV_627_na	.	CentralPV	Oahu	23514411.19
Oahu_CentralPV_628_na	.	CentralPV	Oahu	13090152.39
Oahu_CentralPV_629_na	.	CentralPV	Oahu	21718785.87
Oahu_CentralPV_62_na	.	CentralPV	Oahu	27785852.41
Oahu_CentralPV_630_na	.	CentralPV	Oahu	22697733.22
Oahu_CentralPV_631_na	.	CentralPV	Oahu	10753379.35
Oahu_CentralPV_632_na	.	CentralPV	Oahu	12531466.24
Oahu_CentralPV_633_na	.	CentralPV	Oahu	13436742.75
Oahu_CentralPV_634_na	.	CentralPV	Oahu	14352552.02
Oahu_CentralPV_635_na	.	CentralPV	Oahu	16219112.75
Oahu_CentralPV_636_na	.	CentralPV	Oahu	17167343.28
Oahu_CentralPV_637_na	.	CentralPV	Oahu	20972596.59
Oahu_CentralPV_638_na	.	CentralPV	Oahu	9657249.029
Oahu_CentralPV_639_na	.	CentralPV	Oahu	10438464.31
Oahu_CentralPV_63_na	.	CentralPV	Oahu	28174655.3
Oahu_CentralPV_640_na	.	CentralPV	Oahu	11261044.13
Oahu_CentralPV_641_na	.	CentralPV	Oahu	12100187.64
Oahu_CentralPV_642_na	.	CentralPV	Oahu	12969670.32
Oahu_CentralPV_643_na	.	CentralPV	Oahu	13846304.45
Oahu_CentralPV_644_na	.	CentralPV	Oahu	14736662.96
Oahu_CentralPV_645_na	.	CentralPV	Oahu	15648591.13
Oahu_CentralPV_646_na	.	CentralPV	Oahu	16559948.73
Oahu_CentralPV_647_na	.	CentralPV	Oahu	17489693.05
Oahu_CentralPV_648_na	.	CentralPV	Oahu	18415952.17
Oahu_CentralPV_649_na	.	CentralPV	Oahu	19348037.26
Oahu_CentralPV_64_na	.	CentralPV	Oahu	28588093.22
Oahu_CentralPV_650_na	.	CentralPV	Oahu	20295700.58
Oahu_CentralPV_651_na	.	CentralPV	Oahu	21237212.25
Oahu_CentralPV_652_na	.	CentralPV	Oahu	9618721.877
Oahu_CentralPV_653_na	.	CentralPV	Oahu	10316027.21
Oahu_CentralPV_654_na	.	CentralPV	Oahu	11050734.96
Oahu_CentralPV_655_na	.	CentralPV	Oahu	11830788.88
Oahu_CentralPV_656_na	.	CentralPV	Oahu	12632111.87
Oahu_CentralPV_657_na	.	CentralPV	Oahu	13467268.21
Oahu_CentralPV_658_na	.	CentralPV	Oahu	14313433.58
Oahu_CentralPV_659_na	.	CentralPV	Oahu	15176387.69
Oahu_CentralPV_65_na	.	CentralPV	Oahu	32806266.63
Oahu_CentralPV_660_na	.	CentralPV	Oahu	16952403.0
Oahu_CentralPV_661_na	.	CentralPV	Oahu	17861710.75
Oahu_CentralPV_662_na	.	CentralPV	Oahu	18769601.45
Oahu_CentralPV_663_na	.	CentralPV	Oahu	19684930.56
Oahu_CentralPV_664_na	.	CentralPV	Oahu	20617097.43
Oahu_CentralPV_665_na	.	CentralPV	Oahu	11025386.07
Oahu_CentralPV_666_na	.	CentralPV	Oahu	11715655.83
Oahu_CentralPV_667_na	.	CentralPV	Oahu	12454097.22
Oahu_CentralPV_668_na	.	CentralPV	Oahu	18280364.81
Oahu_CentralPV_669_na	.	CentralPV	Oahu	19168415.2
Oahu_CentralPV_66_na	.	CentralPV	Oahu	33425360.37
Oahu_CentralPV_670_na	.	CentralPV	Oahu	9754463.044
Oahu_CentralPV_671_na	.	CentralPV	Oahu	10155637.79
Oahu_CentralPV_672_na	.	CentralPV	Oahu	10629572.99
Oahu_CentralPV_673_na	.	CentralPV	Oahu	11776189.47
Oahu_CentralPV_674_na	.	CentralPV	Oahu	10407160.48
Oahu_CentralPV_675_na	.	CentralPV	Oahu	10688983.79
Oahu_CentralPV_676_na	.	CentralPV	Oahu	11056249.72
Oahu_CentralPV_677_na	.	CentralPV	Oahu	11493057.6
Oahu_CentralPV_678_na	.	CentralPV	Oahu	11375252.58
Oahu_CentralPV_679_na	.	CentralPV	Oahu	11633593.5
Oahu_CentralPV_67_na	.	CentralPV	Oahu	34068945.21
Oahu_CentralPV_680_na	.	CentralPV	Oahu	11971863.43
Oahu_CentralPV_681_na	.	CentralPV	Oahu	12376347.65
Oahu_CentralPV_682_na	.	CentralPV	Oahu	12843820.37
Oahu_CentralPV_683_na	.	CentralPV	Oahu	12347679.53
Oahu_CentralPV_684_na	.	CentralPV	Oahu	14558991.85
Oahu_CentralPV_685_na	.	CentralPV	Oahu	13171240.05
Oahu_CentralPV_686_na	.	CentralPV	Oahu	13323492.91
Oahu_CentralPV_687_na	.	CentralPV	Oahu	14287364.68
Oahu_CentralPV_688_na	.	CentralPV	Oahu	14084943.99
Oahu_CentralPV_689_na	.	CentralPV	Oahu	15269278.31
Oahu_CentralPV_68_na	.	CentralPV	Oahu	34721762.29
Oahu_CentralPV_690_na	.	CentralPV	Oahu	15142157.91
Oahu_CentralPV_691_na	.	CentralPV	Oahu	15079925.52
Oahu_CentralPV_692_na	.	CentralPV	Oahu	15082984.56
Oahu_CentralPV_693_na	.	CentralPV	Oahu	16429608.88
Oahu_CentralPV_694_na	.	CentralPV	Oahu	16252847.32
Oahu_CentralPV_695_na	.	CentralPV	Oahu	16133419.55
Oahu_CentralPV_696_na	.	CentralPV	Oahu	16074966.04
Oahu_CentralPV_697_na	.	CentralPV	Oahu	16077777.48
Oahu_CentralPV_698_na	.	CentralPV	Oahu	17625000.48
Oahu_CentralPV_699_na	.	CentralPV	Oahu	17404607.98
Oahu_CentralPV_69_na	.	CentralPV	Oahu	24808152.29
Oahu_CentralPV_6_na	.	CentralPV	Oahu	36592344.27
Oahu_CentralPV_700_na	.	CentralPV	Oahu	17070055.8
Oahu_CentralPV_701_na	.	CentralPV	Oahu	17072644.98
Oahu_CentralPV_702_na	.	CentralPV	Oahu	17131984.23
Oahu_CentralPV_703_na	.	CentralPV	Oahu	18600755.75
Oahu_CentralPV_704_na	.	CentralPV	Oahu	18392000.79
Oahu_CentralPV_705_na	.	CentralPV	Oahu	18234158.29
Oahu_CentralPV_706_na	.	CentralPV	Oahu	18127672.49
Oahu_CentralPV_707_na	.	CentralPV	Oahu	18075553.36
Oahu_CentralPV_708_na	.	CentralPV	Oahu	19569463.94
Oahu_CentralPV_709_na	.	CentralPV	Oahu	19371092.93
Oahu_CentralPV_70_na	.	CentralPV	Oahu	24888770.08
Oahu_CentralPV_710_na	.	CentralPV	Oahu	19221233.72
Oahu_CentralPV_711_na	.	CentralPV	Oahu	19120186.62
Oahu_CentralPV_712_na	.	CentralPV	Oahu	20777635.43
Oahu_CentralPV_713_na	.	CentralPV	Oahu	20540743.84
Oahu_CentralPV_714_na	.	CentralPV	Oahu	20351783.8
Oahu_CentralPV_715_na	.	CentralPV	Oahu	20209139.45
Oahu_CentralPV_716_na	.	CentralPV	Oahu	20112996.69
Oahu_CentralPV_717_na	.	CentralPV	Oahu	21740592.37
Oahu_CentralPV_718_na	.	CentralPV	Oahu	21514247.62
Oahu_CentralPV_719_na	.	CentralPV	Oahu	21333853.39
Oahu_CentralPV_71_na	.	CentralPV	Oahu	25007294.58
Oahu_CentralPV_720_na	.	CentralPV	Oahu	21197759.86
Oahu_CentralPV_721_na	.	CentralPV	Oahu	23962208.65
Oahu_CentralPV_722_na	.	CentralPV	Oahu	23258483.51
Oahu_CentralPV_723_na	.	CentralPV	Oahu	22706368.6
Oahu_CentralPV_724_na	.	CentralPV	Oahu	22489686.93
Oahu_CentralPV_725_na	.	CentralPV	Oahu	22317120.16
Oahu_CentralPV_726_na	.	CentralPV	Oahu	25269643.28
Oahu_CentralPV_727_na	.	CentralPV	Oahu	24881860.05
Oahu_CentralPV_728_na	.	CentralPV	Oahu	24523756.22
Oahu_CentralPV_729_na	.	CentralPV	Oahu	24204772.66
Oahu_CentralPV_72_na	.	CentralPV	Oahu	25165830.84
Oahu_CentralPV_730_na	.	CentralPV	Oahu	23674619.53
Oahu_CentralPV_731_na	.	CentralPV	Oahu	23466820.85
Oahu_CentralPV_73_na	.	CentralPV	Oahu	25860410.3
Oahu_CentralPV_74_na	.	CentralPV	Oahu	26161493.59
Oahu_CentralPV_75_na	.	CentralPV	Oahu	26499747.11
Oahu_CentralPV_76_na	.	CentralPV	Oahu	26866401.61
Oahu_CentralPV_77_na	.	CentralPV	Oahu	27268375.03
Oahu_CentralPV_78_na	.	CentralPV	Oahu	27695401.31
Oahu_CentralPV_79_na	.	CentralPV	Oahu	30812925.52
Oahu_CentralPV_7_na	.	CentralPV	Oahu	33727223.47
Oahu_CentralPV_80_na	.	CentralPV	Oahu	31416029.01
Oahu_CentralPV_81_na	.	CentralPV	Oahu	32031741.21
Oahu_CentralPV_82_na	.	CentralPV	Oahu	32665565.71
Oahu_CentralPV_83_na	.	CentralPV	Oahu	33323875.65
Oahu_CentralPV_84_na	.	CentralPV	Oahu	33991051.78
Oahu_CentralPV_85_na	.	CentralPV	Oahu	23772561.52
Oahu_CentralPV_86_na	.	CentralPV	Oahu	23814860.61
Oahu_CentralPV_87_na	.	CentralPV	Oahu	23898891.3
Oahu_CentralPV_88_na	.	CentralPV	Oahu	24022361.41
Oahu_CentralPV_89_na	.	CentralPV	Oahu	24187415.77
Oahu_CentralPV_8_na	.	CentralPV	Oahu	34842603.69
Oahu_CentralPV_90_na	.	CentralPV	Oahu	24389585.61
Oahu_CentralPV_91_na	.	CentralPV	Oahu	24909471.11
Oahu_CentralPV_92_na	.	CentralPV	Oahu	25221967.41
Oahu_CentralPV_93_na	.	CentralPV	Oahu	25952522.12
Oahu_CentralPV_94_na	.	CentralPV	Oahu	30638601.31
Oahu_CentralPV_95_na	.	CentralPV	Oahu	31269673.55
Oahu_CentralPV_96_na	.	CentralPV	Oahu	31918681.91
Oahu_CentralPV_97_na	.	CentralPV	Oahu	32592128.4
Oahu_CentralPV_98_na	.	CentralPV	Oahu	33274025.75
Oahu_CentralPV_99_na	.	CentralPV	Oahu	22902469.94
Oahu_CentralPV_9_na	.	CentralPV	Oahu	35260442.53
Oahu_CentralTrackingPV_100_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_101_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_102_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_103_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_104_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_105_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_106_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_107_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_108_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_109_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_10_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_110_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_111_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_112_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_113_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_114_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_115_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_116_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_117_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_118_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_119_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_11_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_120_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_121_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_122_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_123_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_124_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_125_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_126_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_127_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_128_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_129_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_12_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_130_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_131_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_132_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_133_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_134_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_135_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_136_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_137_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_138_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_139_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_13_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_140_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_141_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_142_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_143_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_144_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_145_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_146_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_147_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_148_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_149_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_14_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_150_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_151_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_152_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_153_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_154_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_155_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_156_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_157_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_158_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_159_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_15_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_160_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_161_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_162_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_163_na	.	CentralTrackingPV	Oahu	0.0
Oahu_CentralTrackingPV_164_na	.	CentralTrackingPV	Oahu	0.0
