timepoint_label	lz_demand_mw_as_consumption	DumpPower	LZ_NetDispatch
2007-04-09-10:00	-1112.65002441406	0.0	1112.65002441406
2007-04-09-11:00	-1122.59997558594	0.0	1122.5999755859398
2007-04-09-12:00	-1133.93005371094	0.0	1133.9300537109398
2007-04-09-13:00	-1133.96997070312	0.0	1133.9699707031198
2007-04-09-14:00	-1131.19995117188	0.0	1131.1999511718798
2007-04-09-15:00	-1123.7900390625	0.0	1123.7900390624998
2007-04-09-16:00	-1108.93994140625	0.0	1108.9399414062498
2007-04-09-17:00	-1099.33996582031	0.0	1099.33996582031
2007-04-09-18:00	-1141.83996582031	0.0	1141.8399658203098
2007-04-09-19:00	-1142.05004882812	0.0	1142.0500488281198
2007-04-09-20:00	-1076.71997070312	0.0	1076.7199707031198
2007-04-09-21:00	-973.169982910156	0.0	973.1699829101558
2007-04-09-22:00	-845.47998046875	0.0	845.4799804687498
2007-04-09-23:00	-748.799987792969	0.0	748.7999877929688
2007-04-10-00:00	-695.489990234375	0.0	695.489990234375
2007-04-10-01:00	-662.450012207031	0.0	662.450012207031
2007-04-10-02:00	-648.210021972656	0.0	648.210021972656
2007-04-10-03:00	-655.630004882812	0.0	655.6300048828122
2007-04-10-04:00	-713.840026855469	0.0	713.840026855469
2007-04-10-05:00	-845.539978027344	0.0	845.5399780273438
2007-04-10-06:00	-956.039978027344	0.0	956.0399780273438
2007-04-10-07:00	-997.919982910156	0.0	997.9199829101558
2007-04-10-08:00	-1057.0400390625	0.0	1057.0400390625
2007-04-10-09:00	-1091.4599609375	0.0	1091.4599609374998
2007-04-10-10:00	-1116.53002929688	0.0	1116.5300292968798
2007-04-10-11:00	-1121.53002929688	0.0	1121.5300292968798
2007-04-10-12:00	-1134.59997558594	0.0	1134.5999755859398
2007-04-10-13:00	-1131.81994628906	0.0	1131.81994628906
2007-04-10-14:00	-1125.47998046875	0.0	1125.47998046875
2007-04-10-15:00	-1110.61999511719	0.0	1110.61999511719
2007-04-10-16:00	-1097.68994140625	0.0	1097.6899414062498
2007-04-10-17:00	-1103.31005859375	0.0	1103.3100585937498
2007-04-10-18:00	-1139.36999511719	0.0	1139.36999511719
2007-04-10-19:00	-1114.2900390625	0.0	1114.2900390625
2007-04-10-20:00	-1054.9599609375	0.0	1054.9599609374998
2007-04-10-21:00	-960.510009765625	0.0	960.5100097656248
2007-04-10-22:00	-841.960021972656	0.0	841.960021972656
2007-04-10-23:00	-740.0	0.0	740.0
2007-05-15-00:00	-688.190002441406	0.0	688.1900024414061
2007-05-15-01:00	-656.75	0.0	656.75
2007-05-15-02:00	-645.380004882812	0.0	645.380004882812
2007-05-15-03:00	-651.080017089844	0.0	651.080017089844
2007-05-15-04:00	-705.890014648438	0.0	705.8900146484377
2007-05-15-05:00	-823.039978027344	0.0	823.039978027344
2007-05-15-06:00	-941.02001953125	0.0	941.02001953125
2007-05-15-07:00	-1007.32000732422	0.0	1007.3200073242199
2007-05-15-08:00	-1069.82995605469	0.0	1069.82995605469
2007-05-15-09:00	-1103.03002929688	0.0	1103.03002929688
2007-05-15-10:00	-1121.83996582031	0.0	1121.8399658203098
2007-05-15-11:00	-1136.22998046875	0.0	1136.22998046875
2007-05-15-12:00	-1139.85998535156	0.0	1139.85998535156
2007-05-15-13:00	-1135.69995117188	0.0	1135.69995117188
2007-05-15-14:00	-1132.44995117188	0.0	1132.4499511718798
2007-05-15-15:00	-1126.46997070312	0.0	1126.46997070312
2007-05-15-16:00	-1110.61999511719	0.0	1110.6199951171898
2007-05-15-17:00	-1094.17004394531	0.0	1094.1700439453098
2007-05-15-18:00	-1099.05004882812	0.0	1099.0500488281198
2007-05-15-19:00	-1119.14001464844	0.0	1119.14001464844
2007-05-15-20:00	-1055.7099609375	0.0	1055.7099609375
2007-05-15-21:00	-964.52001953125	0.0	964.5200195312498
2007-05-15-22:00	-843.450012207031	0.0	843.4500122070308
2007-05-15-23:00	-739.159973144531	0.0	739.159973144531
2007-05-30-00:00	-716.440002441406	0.0	716.440002441406
2007-05-30-01:00	-682.460021972656	0.0	682.460021972656
2007-05-30-02:00	-666.450012207031	0.0	666.4500122070311
2007-05-30-03:00	-673.369995117188	0.0	673.369995117188
2007-05-30-04:00	-728.380004882812	0.0	728.3800048828118
2007-05-30-05:00	-840.010009765625	0.0	840.010009765625
2007-05-30-06:00	-959.5	0.0	959.4999999999998
2007-05-30-07:00	-1035.94995117188	0.0	1035.9499511718798
2007-05-30-08:00	-1097.43005371094	0.0	1097.4300537109398
2007-05-30-09:00	-1133.5	0.0	1133.5
2007-05-30-10:00	-1159.68005371094	0.0	1159.6800537109398
2007-05-30-11:00	-1170.7099609375	0.0	1170.7099609374998
2007-05-30-12:00	-1168.46997070312	0.0	1168.4699707031198
2007-05-30-13:00	-1176.73999023438	0.0	1176.73999023438
2007-05-30-14:00	-1187.91003417969	0.0	1187.9100341796898
2007-05-30-15:00	-1185.82995605469	0.0	1185.8299560546898
2007-05-30-16:00	-1169.91003417969	0.0	1169.9100341796898
2007-05-30-17:00	-1149.43005371094	0.0	1149.43005371094
2007-05-30-18:00	-1131.71997070312	0.0	1131.7199707031198
2007-05-30-19:00	-1160.38000488281	0.0	1160.3800048828098
2007-05-30-20:00	-1108.73999023438	0.0	1108.7399902343798
2007-05-30-21:00	-1016.33001708984	0.0	1016.3300170898399
2007-05-30-22:00	-896.75	0.0	896.7499999999998
2007-05-30-23:00	-793.419982910156	0.0	793.419982910156
2007-06-05-00:00	-727.590026855469	0.0	727.590026855469
2007-06-05-01:00	-692.280029296875	0.0	692.2800292968748
2007-06-05-02:00	-697.320007324219	0.0	697.3200073242188
2007-06-05-03:00	-708.429992675781	0.0	708.4299926757808
2007-06-05-04:00	-764.47998046875	0.0	764.47998046875
2007-06-05-05:00	-875.849975585938	0.0	875.8499755859377
2007-06-05-06:00	-1000.59997558594	0.0	1000.5999755859398
2007-06-05-07:00	-1077.31994628906	0.0	1077.31994628906
2007-06-05-08:00	-1143.73999023438	0.0	1143.73999023438
2007-06-05-09:00	-1180.18994140625	0.0	1180.1899414062498
2007-06-05-10:00	-1200.89001464844	0.0	1200.8900146484398
2007-06-05-11:00	-1211.11999511719	0.0	1211.1199951171898
2007-06-05-12:00	-1222.57995605469	0.0	1222.5799560546898
2007-06-05-13:00	-1223.7900390625	0.0	1223.7900390625
2007-06-05-14:00	-1230.11999511719	0.0	1230.1199951171898
2007-06-05-15:00	-1221.40002441406	0.0	1221.4000244140598
2007-06-05-16:00	-1205.94995117188	0.0	1205.9499511718798
2007-06-05-17:00	-1191.81005859375	0.0	1191.8100585937498
2007-06-05-18:00	-1160.08996582031	0.0	1160.08996582031
2007-06-05-19:00	-1182.05004882812	0.0	1182.05004882812
2007-06-05-20:00	-1128.64001464844	0.0	1128.64001464844
2007-06-05-21:00	-1033.73999023438	0.0	1033.7399902343798
2007-06-05-22:00	-918.599975585938	0.0	918.5999755859377
2007-06-05-23:00	-812.169982910156	0.0	812.1699829101558
2007-07-19-00:00	-773.739990234375	0.0	773.7399902343748
2007-07-19-01:00	-735.299987792969	0.0	735.2999877929688
