timepoint_label	Oahu_Kahe_K1	Oahu_Kahe_K3	Oahu_Kahe_K2	Oahu_Kahe_K5	Oahu_Kahe_K4	Oahu_Kahe_K6	Oahu_Waiau_W5	Oahu_Waiau_W7_W8	Oahu_Honolulu_H9	Oahu_Honolulu_H8	Oahu_Tesoro_GEN1	Oahu_Waiau_W10_W9	Oahu_HPower_GEN1	Oahu_Waiau_W4	Oahu_Chevron_GEN1_GEN2_GEN3	Oahu_Kalaeloa_CC1_CC2	Oahu_Waiau_W6	Oahu_Waiau_W3	Oahu_AES_GEN1
2007-01-30-16:00	74.784	78.81599999999999	65.9243722386133	122.97599999999998	0.0	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-01-30-17:00	74.784	78.81599999999999	0.0	122.97599999999998	83.712	10.192352707363398	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-01-30-18:00	74.784	78.81599999999999	74.97599999999998	122.97599999999998	83.712	3.29643083236331	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-01-30-19:00	74.784	78.81599999999999	74.97599999999998	0.0	83.712	63.59237712142331	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-01-30-20:00	74.784	0.0	74.97599999999998	61.61833805892334	83.712	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-01-30-21:00	0.0	0.0	0.0	0.0	83.712	116.9983942112674	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-01-30-22:00	0.0	0.0	0.0	0.0	0.0	85.31036979720434	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-01-30-23:00	0.0	0.0	0.0	0.0	0.0	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	35.332391769861346	178.2
2007-02-17-00:00	0.0	0.0	0.0	0.0	0.0	0.0	14.994416183923393	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-02-17-01:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	26.382389328454536	45.312	178.2
2007-02-17-02:00	0.0	0.0	0.0	0.0	0.0	0.0	49.824	102.22841130111148	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	0.0	178.2
2007-02-17-03:00	0.0	0.0	0.0	0.0	0.0	0.0	1.6163722386114294	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	0.0	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-02-17-04:00	0.0	0.0	0.0	0.0	0.0	0.0	49.824	68.05642594954847	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-02-17-05:00	0.0	0.0	0.0	0.0	0.0	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	19.812391769861335	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-02-17-06:00	0.0	48.93042594954841	0.0	0.0	0.0	0.0	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-02-17-07:00	74.784	0.0	0.0	0.0	0.0	71.27636979720444	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-02-17-08:00	0.0	0.0	0.0	21.376386887048337	83.712	123.55199999999998	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
2007-02-17-09:00	0.0	78.81599999999999	74.97599999999998	0.0	0.0	120.31841862533349	49.824	149.37599999999998	0.0	0.0	15.639725799086765	0.0	57.599999999999994	45.792	7.217375607600529	151.16050194063928	49.727999999999994	45.312	178.2
